Name,RA (1950),Dec m_zw,v_h,sig sour,Type,D1,D1,BT,UGC,FLWO#,Notes and Other Names
N3265,102819,29031814.1,1440,15014001,-4,0.9,0.7,,5705,T00943,Was12
N3270,102844.5,25073514.1,6259,2010617,3A,3.1,0.8,,5711,T01342,
10290+0043,102900,430014.3,8582,3012700,4A,1.1,0.7,,5715,T03045,
N3259,102906,65180012.9,1703,1 0 5,4X7T,2.3,1.1,,5717,,
N3264,102912,56190014.3,929,3412700,20,3.5,1.5,,5719,T01444,
10294+5438,102923,54394013.2,1431,3012700,10P,1,0.9,13.5,5720,,"MK33,Haro2"
N3274,102930,27560013.1,2  524,35 2700,9B5s,2.1,1.1,13.15,5721,T04723,
N3266,102948,65010013.5,1650,3412700,-2X,1.4,1.2,,5725,T12824,
N3277,103006,28460012.6,0 1417,15 0100,1,2.4,2.1,12.55,5731,,
N3252,103024,74010014.2,1136,3010200,8,2,0.7,,5732,,
10311+5307,103106,53070014,7109,5210300,0,1.7,0.25,,5734,,
10316+3530,103136,35310014.1,1516,1010613,8B7,1,0.6,,5738,,
10317+1400,103140.2,14004313.9,3001,3412700,10P,1.1,0.3,,5739,T00054,
N3279,103200,11270014.1,1422,3412700,5A,2.8,0.35,,5741,T03230,I 622
N3287,103206,21550013.1,5 1305,10 0611,7B7s,2.1,1,,5742,,
10321+4649,103206,46490014.1,3338,3112700,-6,0.45,0.4,,5744,T01479,MK146
10322+4521,103212,45210014.2,7588,2112700,2B,1.7,1.1,,5746,T01480,
10328+2850,103248,28500014.2,4413,2912700,20,0.45,0.4,,5749,T00944,
N3294,103324,37350012.3,5 1571,21 0100,4X2t,3.8,1.8,12.2,5753,,
10336+3842,103336,38420014.5,7713,2412700,-3,1,0.8,,5759,T01495,
10337+1358,103341.8,13581714.2,2997,3112700,6,1.4,0.3,,5760,T03231,
N3299,103348,12570014.1,597,3010200,9,2,1.7,,5761,,
I2591,103348,35180014.5,6755,3112700,6B4t,1.5,0.8,,5763,T01000,
N3300,103400,14260013.4,2992,3110105,-2X R,1.8,0.9,,5766,,
N3301,103412,22080012.4,3 1343,23 2700,0B T,3.4,1.1,12.24,5767,T11924,
N3303A,103424,18240014.5,6216,2712700,-2  P,2.5,2,,5773,T11925,"VV71,Arp192"
N3306,103431.2,12544813.7,2887,510620,9B s,1.4,0.5,,5774,T00883,
10345+6432,103439.2,64313514.4,1701,2010912,-2,0.6,0.6,14.8,5776,T12825,MK149
N3304,103442,37430014.4,6896,3312700,0X,1.5,0.5,,5777,T01178,
N3310,103540.6,53454711.2,0  989,29 0100,4X3R,3.8,3.5,11.2,5786,M09646,Arp217
N3319,103612,41570011.9,5  743,10 0200,6B3T,7.5,4.3,11.78,5789,T09452,
10365+4812,103630,48120014.4,854,3212712,5,1.6,0.5,,5791,,KDG242A
N3320,103636,47390012.9,3 2331,9 0100,6 6,2.2,1,,5794,T14474,
N3325,103642,30014,5607,3112700,-7,1,0.9,,5795,T12650,
10368+4811,103648,48110014.5,1534,1012700,5,1,0.22,,5798,T04227,KDG242B
N3326,103654,5220014.2,8136,3012700,3A,0.7,0.6,,5799,T07951,"AK251,MK1260"
N3323,103654,25350014.3,5164,3212700,3A,1.4,0.7,,5800,T01360,
N3327,103712,24210014.2,6288,2912700,3A,1.4,0.9,,5803,T01375,
N3332,103748,9270013.7,5867,2512700,-2,1.4,1.4,,5807,T06609,
N3334,103836,37340014.1,7202,2512700,-2A,1.1,1,,5817,T00945,
10389+3859,103854,38590014.5,10693,3012700,4A,1.6,0.35,,5819,T01513,
N3338,103930,14010011.5,9 1299,7 0100,5A3s,5.2,3.5,11.3,5826,,
10402+1343,104009.5,13431813.8,1219,1610620,7B P,1.1,1,,5832,,
10405+4103,104030,41030014,9045,2712700,3B,1.3,0.5,,5838,T12822,
N3344,104048,25110011.1,582,2712700,4X3R,7.5,7,10.5,5840,T11141,
N3346,104059,15080312.3,4 1258,4 0611,6B3T,2.6,2.5,,5842,T15930,
N3351,104118,11580010.7,5  779,4 0100,3B3R,8.5,5,10.5,5850,,M95
N3352,104130,22380014.1,5744,2612700,-2,1.5,1.1,,5851,T01376,
N3356,104136,7010013.3,6184,1010613,3A,1.8,0.8,,5852,T05926,
N3357,104142,14210014.3,9809,3512700,-5,1.1,0.9,,5206,T03232,Note UGC# out of order
N3362,104215.2,6512813.6,8328,2712700,5A,1.4,1.1,,5857,T05925,Sy2
N3353,104217,56132513.4,7  948,13 0300,10P,1.5,1.1,13.2,5860,T04216,"MK35,Haro3"
10431+3514,104306,35140014.3,2032,2612700,1P,1.1,1.1,,5870,T00946,
N3359,104324,63290011.3,1 1013,10 0200,5B3T,8,4.8,11,5873,T09423,
N3348,104327,73061212.4,5 2831,21 2700,-5,2,2,12.3,5875,T02581,
N3365,104342,2050013.6,986,1510200,6,4.6,0.8,,5878,T13853,
N3367,104354,14010012.2,2 3037,13  0,5B1T,2.3,2.2,12.05,5880,T07076,
N3368,104406,12050010.3,2  899,10 0200,2X T,7.5,5,10.1,5882,T12649,
10443+2648,104418,26480014.4,6287,3512700,6B5s,1.2,0.8,,5884,T01297,VV727
N3370,104424,17320012.3,4 1279,420611,5A5s,2.9,1.7,,5887,T14485,
N3364,104442,72400013.6,5 2713,36 2700,4X T,1.8,1.7,13.5,5890,T03376,
10448+0731,104448,7310014.5,8129,3012700,3B,1,0.9,,5892,T03087,
10448+3912,104448,39120014.4,10612,2612700,-7,1.1,1,,5893,T01512,
N3376,104450.6,6183814.4,5837,2312700,0,0.8,0.25,,5891,T03088,
10450+1122,104500,11220014,2731,2812700,5A,2.8,0.9,,5897,T02490,
N3377,104503.4,14145811.7,5  689,19 2700,-5,4,2.5,11.05,05899 1,0.3T02627,*Dsrc=C
N3379,104511,125045 9.6,922,1812700,-5,3.8,3.8,10.2,05902 9,.8 M03257,*Dsrc=C
10452+6637,104512,66370014.5,6505,3412700,3A,2.2,0.4,,5904,T03455,
I 642,104524,18270014,5928,3512700,-2,1.4,1.3,,5905,T00852,
N3380,104530,28520013.6,1560,2812700,1B R,1.6,1.3,,5906,T12651,
N3385,104536,5110013.7,7818,2512700,-2,1.4,0.8,,5908,T04396,
N3384,104536,12540010.8,4  728,17 2700,-3B s,5.4,2.8,10.87,05911 1,0.1T02629,Dsrc=C
N3381,104536,34580012.8,1627,910611,3B3s,2.3,2.1,,5909,T13027,
10457+2651,104542,26510014.5,6265,3212700,6B3s,1.3,1.2,,5912,T01298,
10458+0107,104548,1070014.3,4791,3112700,-2,0.8,0.3,,5913,T03046,
N3389,104548,12480012.4,1 1261,12 0100,5A5s,2.9,1.2,12.35,5914,T14490,
N3391,104617.4,14291013.5,2958,810620,8,1,0.7,,5920,T12846,
10465+0711,104630,7110014.2,722,3312700,0,0.9,0.4,,5923,T03089,MK1264
N3395,104702,33144212.1,1625,612712,6B4P,1.8,1,12.4,5931,,"VV246,Arp270,KDG249A"
N3396,104708,33151812.6,1648,1510100,10B5P,3.7,1.4,12.6,5935,,"VV246,Arp270,KDG249B"
10472+3636,104712,36360014.4,7230,2812700,0  R,1.2,0.9,,5936,T01205,M+6-24-19
N3394,104712,65590013.1,3394,2412700,5,2,1.6,,5937,T10908,
10475+4144,104730,41440014.5,7144,2612700,4P,0.8,0.7,,5941,T01514,
N3400,104800,28440014.3,1448,2612700,0B,1.2,0.7,,5949,T01299,
N3412,104818,13410012,0  867,19 2700,-2B s,3.3,1.9,11.45,5952,T02630,
10484+4450,104824,44500013.2,3158,2412700,15,0.45,0.25,13.6,5953,T07950,MK155
I 644,104824,55390014.4,2867,2912700,5,1,0.35,,5954,T01632,
10484+7202,104824,72020014.4,1181,3412700,-7,1.2,1.2,,5955,T03401,
N3414,104830,28150012.2,3 1476,27 2700,-2  P,3,2.5,11.75,5959,T10349,Arp162
N3423,104836,6060011.8,5  995,31 2700,6A3s,4.3,3.6,11.62,5962,T16104,
N3418,104836,28230014.5,1280,2412700,-1X s,1.2,1,,5963,T01300,
N3413,104836,33020013.1,685,3312700,-1  /,1.9,0.8,,5960,T07884,
N3419,104842,14140013.4,3102,2612712,-1X R,0.7,0.6,,5964,,
N3427,104848,8340014,6471,2712700,0,1.3,0.9,,5966,T20073,
N3425,104848,8500014.5,6627,2412715,-2,1.1,1.1,,5967,T03254,A1142-202
N3428,104848,9330014.1,7953,2812715,3X,1.6,0.7,,5968,T03255,A1142-203
N3415,104848,43590012.9,8 3303,15 0613,-1A,2.1,1.2,,5969,,
N3406,104848,51180014.1,7541,3292712,-5,1.1,1,,5970,T04286,
N3424,104854,33100013.2,1419,2812700,3P,2.7,0.8,,5972,,
N3426,104900,18440013.9,6109,2612700,0,1.8,1.5,,5975,T00420,
N3408,104906,58420014.1,9471,3012700,5,0.9,0.7,,5977,T01694,
N3434,104923,4032613.4,3641,2010643,3,2.3,1.9,,5980,,
N3433,104924,10250012.4,9 2720,15 0200,5A1s,4,3.6,,5981,T14668,
N3430,104924.6,33125412.3,9 1614,28 2700,5B3t,4.4,2.4,12.15,5982,,I2613
N3432,104942.7,36530511.9,4  611,10 0200,9B5P,7.5,2,11.73,5986,T13022,"VV11,Arp206"
N3438,104948,10500014.3,6486,2912715,5,0.9,0.8,,5988,T03270,A1142-204
10498+2003,104950.9,20032514.2,1114,3612700,10,1.5,0.5,,5989,T03290,
N3437,104952.8,23120113,6 1275,7 0611,5X4T,2.8,0.9,,5995,T12850,
N3441,104954,7300013.9,6534,3212700,5,0.8,0.4,,5993,T09195,AK263
10502+5034,105012,50330014.5,1371,3512700,8,0.9,0.35,,5998,T01633,MK156
N3403,105012,73570013.3,1244,5510100,4A5,3.5,1.5,,5997,,
N3442,105021.3,34103713.2,1683,3912700,10P,0.65,0.5,,6001,,MK418
10504+0454,105024,4540014.1,5793,3512700,-6,0.5,0.5,,6003,T03047,"AK264,MK1267"
N3447,105042,17020014.3,1073,810200,8X P,1.7,0.8,,6007,,VV252
N3447A,105043.7,17022214.3,1066,110912,10B P,4.2,2.3,,6006,,VV252
N3440,105048,57230014,1911,2010902,3B,2.3,0.5,,6009,,
10510+4955,105100,49550013.9,6577,2412700,-2,0.9,0.7,,6013,T04386,
N3451,105136,27300013.5,1331,3112700,6B4s,1.9,0.9,,6023,T12849,
N3445,105136,57150013.1,6 2026,25 0200,9X s,1.7,1.6,12.8,6021,,"VV14,Arp24"
N3435,105136,61340014.2,5122,3012700,3,1.9,1.3,,6025,T01695,
N3448,105140,54343012.4,2 1357,9 0100,5,5.3,1.5,12.15,6024,,Arp205
N3454,105148,17370014.1,1153,3512712,5B s,2.4,0.5,,6026,T00104,
N3455,105154,17330013.1,3 1102,1020613,3X T,2.9,1.8,,6028,T00105,
10520+4959,105206,49590014,1365,2512700,10,1,0.8,,6029,,MK157
N3457,105208.8,17531813,1156,2012700,-5,1,1,,6030,T00160,
N3462,105242,7580013.4,6509,2512700,-2,1.7,1.2,,6034,T12873,
N3458,105300,57230013.2,1898,3012700,-2X,1.4,0.8,,6037,T12853,
N3467,105406,10020014.2,9478,2712715,-2,0.9,0.8,,6045,T03256,A1142-205
N3468,105436,41130014.2,7537,2512700,-2,1.6,1,,6048,T01001,
N3470,105542,59470014.3,6494,3612700,3A R,1.7,1.3,,6060,T12855,"KDG259A,6669(0105)"
10560+0919,105600,9190013.7,2607,10011300,-2B,1.4,0.7,,6062,,
N3471,105600,61480013,2107,3212700,1,1.9,0.9,,6064,T12856,MK158
N3478,105636,46230013,4 6667,20 0902,4B2T,2.6,1.3,,6069,T12859,
10570+5019,105700,50190014.4,7126,2512712,-7,1.4,0.8,,6071,,
10569+3339,105701,33393813.3,1861,3512700,9P,0.6,0.5,,6070,T12305,
10571+5112,105706,51120014.3,2889,1814302,-1B P,0.9,0.8,,6074,,
10573+4600,105718,46000014.4,11310,4112700,3A,1.8,0.8,,6075,T01515,
10573+4611,105718,46110014.5,6411,2412700,-7,0.8,0.6,,6076,T01516,
N3485,105724,15070012.8,5 1436,4 0611,3B3R,2.6,2.4,,6077,T16147,
N3486,105740,29143611.2,681,110912,5B3,7.2,5.1,10.85,6079,,
N3489,105742,14100011.2,4  693,18 2700,-1X T,3.2,1.9,11.15,6082,T02631,
N3491,105800,12260014.1,6386,3012715,-3,0.8,0.8,,6088,T03233,A1142-206
N3492,105820.9,10463414,10602,4512700,-5,1.1,0.7,,6094,T05863,"A1142-41,10970 46 (2715)"
N3488,105824,57570013.7,2994,2010902,5B s,2.1,1.4,,6096,T02468,
N3495,105840.9,3534312.5,9 1145,10 0100,7 3,4.8,1,,6098,T15933,
10587+4555,105842.5,45552214.1,8844,3812700,1,0.9,0.6,,6100,M07908,Sy2
10591+4530,105906,45300013.4,5974,251 0,5B,0.7,0.45,,6103,,MK161
N3523,105912,75240013.8,7100,2512700,3,1.6,1.5,,6105,T03460,
10592+1652,105912.5,16523314.4,2936,3812700,4A,1.5,0.4,,6104,T03347,
10593+4609,105918,46090014.5,6550,3012700,3X,1.7,0.6,,6106,T01517,
10599+1700,105954,17000014.5,1037,1010200,7,2.3,0.8,,6112,,
N3499,110000,56290014.3,1559,2412700,0,0.8,0.7,,6115,T01654,
N3501,110007.6,18154213.8,1133,510620,5,3.8,0.5,,6116,T12956,
11002+5029,110012,50290014.5,7276,1812700,1B,1,0.7,,6117,,
N3504,110030,28150011.5,1511,2412700,1X R,2.5,2.5,11.8,6118,,
N3506,110035,11204812.9,6409,1210611,5,1.3,1.3,,6120,T12151,"AK273,A1142-70"
11006+0336,110036,3360014.4,7554,2812712,5,0.5,0.2,,6119,T04259,TURNER28A
N3507,110046.3,18242511.4,980,510912,3B s,3.4,2.8,,6123,T12154,
N3510,110100.9,29091913.8,0  704,1 0912,7B4s,4.2,0.9,13.3,6126,,
11011+5005,110106,50050014.4,7194,3112700,5A,0.9,0.7,,6127,T01550,
N3512,110118,28180013.1,2 1370,7 0611,5B2,1.7,1.6,13,6128,,
11017+3828W,110140.6,38284313.1,8887,4312700,-2  P,0.8,0.6,,06132W,T12342,"BL Lac,MK421,TeV source"
11018+4524,110148,45240013,6479,2912700,5,1,1,,6135,T12684,
N3509,110148.5,5060114,7699,2010623,4A P,2.1,0.9,,6134,T12959,"VV75,Arp335"
11019+1620,110154,16200014.2,6303,2412700,-1,1.2,0.7,,6137,T00932,
11021+0433,110206,4330014.5,7559,2812700,3,0.8,0.4,,6142,T03076,
N3517,110236,56480013.8,2073,12410300,3A,1,0.9,,6144,T12960,
N3521,110315.1,001358 9.8,2  804,10 0200,4X3T1,3.5,7,9.7,6150,,
N3516,110322.8,72502012.8,6 2602,15 2700,-2B s,2.1,1.8,12.45,6153,T05335,Sy1
11035+0442,110330,4420014.4,6412,4712700,4X,1.3,1.1,,6155,T04733,
N3524,110354,11400013.4,1321,4013700,0,1.7,0.5,,6158,T00436,KDG267B
N3522,110400,20200014.2,1254,2612700,-7,1.2,0.7,,6159,T03291,
11040+5130,110400,51300014.2,2204,2010906,5A,2.5,1.2,,6162,,
11040+4400,110400.7,43593614.4,754,110912,9,3,1.6,,6161,,
N3526,110420.5,7264013.7,1318,3812700,5,2,0.5,,6167,T00040,
11046+2345,110436,23450014.4,6599,3512700,6,1,0.7,,6173,T01361,
I 669,110442,6340014.3,8801,3012700,0,1.6,0.8,,6174,T03090,
11051+5354,110506,53540014.1,1255,3612700,-2X,1,0.9,,6182,T01655,
11056+4524,110536,45240014,6171,3212700,1,0.7,0.6,,6187,T00155,
N3530,110542,57300014.4,1938,2412700,1A,0.01,0.8,,6188,T03363,
N3535,110554,5060014.3,6962,2812700,1A,1.2,0.5,,6189,T03049,
I 673,110648,100014.5,968,4712700,1A,2,0.8,,6200,T03078,
11068+4705,110648,47050014.3,7497,3012700,-3,0.7,0.5,,6201,T01551,
11071+2432,110710.4,24321314.5,5987,3512712,3P,1,0.5,,6204,,"Arp301A,VV229"
11072+1302,110712,13020014.2,12743,4112700,5,0.9,0.5,,6206,T03309,"MK729,KDG272B"
N3547,110718,11000013.2,5 1543,2820105,3,2.1,0.9,13.2,6209,T14684,
11078+0506,110748,5060014,9089,3212700,3A,1,0.6,,6212,T05927,
N3550,110756.7,29022214.2,10521,3012700,-2A P,1.1,1,,6214,T01301,Double Nucleus
N3549,110806,53400012.7,6 2867,10 0200,5A4s,3.3,1,,6215,,
N3559,110808.4,12171513.7,3233,510620,9P,1.3,0.9,,6217,T00039,
I 674,110818,43540014.5,7552,3012700,2A,1.8,0.8,,6221,T01531,
11086+4719,110836,47190014.3,7580,3212700,-3,0.8,0.7,,6227,T01552,
N3556,110837,55564210.9,0  698,3 2600,6B s,8.8,2.2,10.65,6225,,
N3567,110842,6060014.4,6376,2512700,-2,1.2,0.9,,6230,T03091,
N3569,110918,35430014.5,7447,2512700,-2A,1.1,1,,6238,T01206,cD?
N3562,110930,73090013.2,6748,1512700,-7,1.7,1.3,,6242,T02765,*
I 676,111003.7,9194413.4,1402,3112700,-1B,2.2,1.6,,6245,T00421,MK731
11108+2226,111048,22250012.9,-87,51,-5,15,12,12.38,06253 0,0.46,"LEOII,DDO93"
11108+4751,111048,47510013.6,5351,15010510,-5  P,0.8,0.4,,6255,,AK283
I2637,111114,9510013.9,8763,2512700,15,0.9,0.8,,6259,T00928,"Sy1.5,MK732IR83088"
I 677,111119.9,12342513.6,3246,510620,3,1.6,0.6,,6262,T00133,
N3583,111124,48350012.2,0 2130,1020909,3B3s,2.7,2,,6263,,
N3593,111200,13050011.9,1  693,37 2700,0A5s,5.2,2.1,11.7,6272,T02735,
11121+3546N,111206,35460014.5,6447,23H2700,3,1.7,0.3,,06273N,T01247,NORTH
N3589,111212,60580014.5,1969,2010902,9,1.7,0.9,,6275,T04731,
11124+3118,111224,31180014.4,8202,2612700,-2A R,1.5,1.3,,6276,T01302,
N3596,111227.9,15033812,7 1193,10 0200,5X3T,4.4,4.4,,6277,T14685,
N3598,111236,17320013.5,6175,2912700,-3,1.6,1.2,,6278,T04397,
N3595,111236,47430013,2248,6210300,-1,1.6,0.7,,6280,,
N3599,111248,18230613,850,4510300,-2A,2.5,2.5,12.75,6281,,*
N3601,111254,5230014.1,7800,10511,5,0.6,0.5,,6282,T13028,AK284
N3600,111300,41520012.6,719,1010200,1,4.2,1,,6283,T13000,MK1443
11136+0309,111336,3090014.5,8956,3712700,4,0.8,0.7,,6289,T03029,
N3605,111408.6,18172613.7,1  686,20 2700,-3,1.2,0.6,,6295,T06530,
11142+1804,111412,18040014.3,973,2010600,1,1.3,0.4,,6296,,
N3607,111416.8,18194211.4,2  951,21 2700,-2A s,4.5,4,10.95,6297,T02559,TG 39
N3608,111421.1,18251712.3,1 1197,21 2700,-7,3,2.5,11.9,6299,T02561,
N3611,111454,4500013,2 1620,1500100,1A P,2.7,2.7,12.8,6305,T12970,
11150+5146,111500,51460013.7,2843,2012700,3,1.6,0.8,,6309,,
N3609,111512,26540014.1,8082,1512700,1X R,1.2,1,,6310,T03339,
N3615,111524,23400014,6684,3012700,-7,1.4,0.9,,6313,T04398,
11154+6519E,111524,65190014.4,9857,3312700,5,0.8,0.35,,06316B,T03437,EAST
N3614,111534.3,46011312.7,2284,3512700,5X2,4.6,2.8,,6318,T14476,
11156+1907,111539.7,19071813.6,1125,510620,8,1.1,1,,6320,,AK286
N3613,111542,58161812.2,5 2054,75,-5,3.4,1.8,11.6,6323,,*
N3618,111554,23450014.4,6805,2512700,3A,1,0.8,,6327,T01445,MK1288
N3623,111618.6,13220010.5,1  801,500912,1X3T,9.5,2.3,10.17,6328,T11305,
N3619,111630,58020012.8,6 1561,28 2700,-1A s,4,3,12.6,6330,,
11166+2105,111636,21050014.5,6245,2612700,1B,1.3,1.1,,6332,T01363,
11168+2856,111650,28553314.4,6256,2312700,0A R,2.7,1.4,,6334,T01304,
N3622,111710,67305513.7,1328,3512700,0,1.3,0.5,,6339,T06909,
N3626,111724,18380012.1,1 1473,20 0609,-1A3T,2.8,2,11.7,6343,,
N3625,111736,58040013.9,1966,3112700,3X s,2.1,0.5,,6348,T01076,
N3627,111737.9,131608 9.8,9  724,5 0912,3X3s,9,4.2,9.7,6346,T09800,"VV308,Arp16"
N3628,111739.6,13514810.4,3  843,100912,3  P1,5.5,4.3,10.15,6350,T18397,"VV308,Arp317"
11176+0248,111740.4,2475814.4,1588,110912,10B9,2.5,1.5,,6345,,DDO94
N3630,111742,3140013,1 1514,22 0105,-2,1.9,0.8,,6349,,
N3633,111754,3510014.3,2553,3012700,1A,1.2,0.4,,6351,T01329,
N3629,111754,27140012.8,4 1520,20 0200,6X4,2.1,1.6,,6352,,
N3631,111813.2,53264311.2,7 1156,1 0912,5A1s,6,5,11.03,6360,,Arp27
N3640,111832.4,3303611.8,2 1302,21 2700,-5,4.5,4,11.25,6368,T02736,
N3641,111834.8,3280614,1758,2212700,-7,0.8,0.8,,6370,T04734,
N3639,111857,18444014,5449,1010620,1,0.9,0.8,,6374,T00288,
N3646,111906,20270012.1,2 4195,24 0100,4 1,3.8,2.2,11.85,6376,T12971,KDG281A
N3642,111924,59210011.9,1587,2010902,4A1R,6.2,5,11.6,6385,,Liner
N3648,111948,40090013.5,2111,5011300,-2,1.3,0.8,,6389,T12996,
N3652,111954,38020012.6,2096,15010510,6B4P,2.9,0.8,,6392,T13001,
N3655,112018,16520012.9,3 1486,30 2700,5A s,1.9,1,12.3,6396,T14528,
N3656,112048,54070013.4,2828,701 0,12P,1.7,1.7,,6403,T12973,"VV22,Arp155,KDG282B"
N3659,112106,18050013.3,6 1276,10 0611,9B s,2,1,,6405,T13029,
N3657,112106,53120013.1,1215,1010200,5X T,2.9,2.9,,6406,T00867,
N3654,112106,69420013.4,1579,3312700,3,1.8,1.1,,6407,T00156,
N3658,112118,38500013.3,2044,1512700,-2A R,1.8,1.7,,6409,,
N3666,112148,11370012.5,4 1067,10 0200,5A5T,4.5,1.2,,6420,T15655,
N3664,112151,3361813,1 1370,10 0200,9B8P,1.9,1.7,,6419,,"DDO95,VV251,Arp5,KDG283B"
N3665,112201.3,39021512,1 2080,16 2700,-2A s,3.5,3,11.7,6426,,
11224+6401,112225.1,64001114.1,3725,510912,5A T,2.9,2.9,,6429,,
N3668,112230,63430013.1,3449,2712700,4,2.1,1.3,,6430,T00271,
N3669,112236,58000012.9,1940,5010200,6B,2.2,0.5,,6431,T13003,
I 692,112318,10154314.1,1157,3712700,-5,0.8,0.6,,6438,T03234,
N3675,112330,43520011.1,1  771,10 0200,3A3s,6.8,3.5,10.9,6439,T14701,
N3677,112330,47150013.5,7399,2912700,-1A R,1.6,1.4,,6441,T12827,"KDG284A,7543(03)"
N3678,112336,28090014.2,7185,3212700,5 2,0.8,0.7,,6443,T01013,
N3674,112337.2,57193013.1,1885,5011301,-2,1.5,0.5,,6444,T13002,
11238+5401,112348,54010014.5,646,2010906,7A,4.1,2.6,,6446,,
N3681,112352.6,17082212.7,0 1239,5 0912,4X R,2.7,2.7,12.4,6445,,
I 691,112352.9,59254714.2,1210,2812700,11P,0.8,0.5,,6447,T01696,MK169
11245+5955,112430,59550014,5169,3712700,7,1.1,0.5,,6452,T00289,
N3684,112434.3,17182012.6,3 1162,5 0912,4A5T,3.5,2.4,12.3,6453,T14703,
N3683,112442,57090012.7,1686,1810105,5B s,2.1,0.8,,6458,T03377,
N3682,112445.3,66515413.4,1515,2312700,0A s,2.3,1.6,,6459,T04744,
N3686,112507.3,17295612.2,4 1158,5 0912,4B3s,3.1,2.5,12,6460,T14704,
N3687,112518,29470013,3 2501,10 0100,4B3R,1.8,1.8,,6463,T14578,MK736
N3689,112531.8,25561512.9,2783,2712700,5X3T,1.6,1,13,6467,T16151,
N3691,112531.9,17114613.5,3 1071,5 0620,3B,1.1,0.9,,6464,T14708,
I 694,112541.4,58500012.6,3115,35H2712,9B,1.1,0.9,,6471,T04516,"MK171,VV118,Arp296,KDG28"
N3690,112541.4,58500012.4,3101,32H2712,9B,2.9,1.5,,6472,T04515,"MK171,VV118,Arp296,KDG28"
11257+0256,112542,2560014.1,6824,3512700,6,0.9,0.35,,6469,T01330,
N3692,112548,9410012.9,1709,2712700,3,3.1,0.7,,6474,T16113,
11259+2340,112554,23400014.4,7388,3112700,3A,1.5,1.1,,6476,T01377,
I 696,112604.6,9222714.5,6311,4112700,5B,1,0.9,,6477,T03257,
N3694,112612,35410013.5,2279,2712700,-5  P,1.1,0.9,,6480,T11926,AK29
N3697,112613,21041514.1,6261,3112748,3X,2.5,0.7,13.48,6479,T01378,HCG53A
I 698,112624,9230014.4,6189,2812700,-1,1,0.5,,6482,T03235,
N3683A,112624,57250012.6,2429,2010902,5B T,2.4,1.8,,6484,,
N3701,112648,24210014.1,2787,3612700,4A,2,0.9,,6493,T01379,
11272+2513,112712,25130014.5,6277,3412700,-5,0.6,0.4,,6496,T01530,
N3705,112730,9330011.9,5 1017,10 0200,2X4R,5,2.2,,6498,T15665,
N3710,112824,23020014.5,6491,2812700,-7,1,0.8,,6504,T01380,
N3713,112900,28250014.4,6989,2612700,-3A,1.2,0.8,,6511,T01014,
N3716,112906,3455614.5,6636,2412700,-1,0.7,0.6,,6513,T03050,
N3752,112906,74540013.7,1898,2312700,2,1.8,0.8,,6515,T00290,
N3714,112912,28380014.3,6984,2912700,1P,2.2,1,,6516,T01129,AK297
11293+3658,112922.9,36582814,2477,4412700,6B5r,2,1.2,,6517,T00115,
11296+6248,112936,62470014.1,3648,5013300,2B,1.5,0.8,14.2,6520,,MK175
N3719,112942,1060013.8,5907,4512712,3A T,2.1,1.5,,6521,T00055,KDG289A
N3720,112948,1050013.7,5979,2512712,2,1,0.9,13.95,6523,T00056,KDG289B
N3718,112948,53210011.7,2  987,10 0200,1B P,11,5,11.26,6524,T09118,"Arp214,KDG290A"
11299+6207,112955,62061414.1,3248,510912,5A,1.2,1.1,,6528,,
11299+3536,112959.3,35361614.1,1851,3112700,7 5/,1.9,0.4,,6526,T01248,
11304+6334,113024,63340013.3,1273,2010200,6,3,0.8,,6534,,
N3726,113036,47180011,9  861,10 0200,5X2R,6.1,4.1,10.95,6537,,
11308+4931,113045.4,49305013.9,250,810200,10P,1.3,0.7,,6541,,MK178
N3725,113054,62100013.6,3284,4410300,5B,1.6,1.2,,6542,,MK179
I 707,113100,21390014.4,6584,2312700,5,0.6,0.5,,6543,T14726,AK301
11310+3254,113100,32540014.5,2619,4112700,3B4P,1.1,0.35,,6545,T01272,KDG291B
N3729,113106,53240012.2,6 1096,37 2700,1B R,3.4,2.4,12,6547,,KDG290B
I 708,113112,49200014.2,9438,3212700,-7,1.4,0.9,,6549,T01553,
11315+7149,113130,71490014.3,2807,4212700,5,1.2,0.45,,6552,,
N3731,113136,12480014.3,3212,2712700,-7,1,0.9,,6553,T03236,
11323+5131,113218,51310014.4,8155,2512700,-3,1.3,1,,6555,T01657,
N3733,113218,55080013.2,1188,1010200,5X s,4.8,2.2,,6554,T12343,"VV459,M9-19-123"
N3737,113254,55140013.9,5823,2612700,-2B,1.1,1,,6563,T10829,A1318-A
11331+0025,113306,250014.4,5949,3812700,5,1,0.45,,6568,T03080,
N3738,113306,54480012.2,0  225,30 0200,10P,3.5,3,12.1,6565,,Arp234
N3735,113306,70490012.6,0 2696,15 0200,5A3,4.3,0.9,,6567,,
11332+3536,113312,35360014.5,1598,3012700,-3,1.2,0.6,,6570,T01179,MK1301
N3741,113324,45340014.2,211,3512700,10,1.7,1.1,,6572,T01554,
11336+5829,113336,58290014.3,1225,3812700,5A,2.2,0.4,,6575,T03364,
N3755,113354,36410013.9,1565,1510909,6X5t,3.6,1.4,,6577,T12944,
N3756,113406,54340012.4,2 1282,10 0614,4X3T,5,2.5,12.15,6579,T14705,
N3759,113410,55060214.3,5577,2512700,-2,1.2,1.2,,6581,T01658,A1318-E
N3759A,113412,55260014.5,5785,2912700,4B,1.4,1.2,,6582,T01659,
