Name,RA (1950),Dec m_zw,v_h,sig sour,Type,D1,D1,BT,UGC,FLWO#,Notes and Other Names
00563+2335,5618,23350014.5,5058,2712700,-5,1,0.45,,612,T03647,
00570+1504,5700,15040014.2,5517,3212700,2X,1,0.5,,615,T02085,
N 338,5752.3,30235814,4781,2010622,3,1.9,0.7,,624,T03784,
N 351,5930,-2110014.3,4194,2312700,0B,1.4,0.7,,639,T02066,
N 354,10036,22040014.2,4670,2010624,3B P,1,0.6,,645,,"MK353,4878(03)"
I1613,10213.2,1515611,2 -232,100912,10X9s,22,20,9.99,00668 0,0.7,"DDO8,Dsrc=F"
I1620E,10430,13420014.5,11474,26H2700,4X,1.2,0.8,,00681B,T05429,KDG22B
N 379,10430,32151614,5556,4112700,-3,1.5,0.8,13.65,683,T03902,"IVZw38,Arp331"
N 380,10432.3,32130113.9,4414,2512700,-1,1.3,1.1,13.5,682,T03901,"IVZw38,Arp331"
N 384,10436,32020014.3,4287,2312700,-5,1.1,0.8,13.92,686,T03916,"IVZw38,Arp331,3CR31"
N 382,10437,32081214.2,5228,2712700,-5,0.25,0.25,14.89,688,T03903,"IVZw38,Arp331,VV193,KDG2"
N 383,10439.4,32084613.6,5071,2312700,-4A,2,1.7,12.9,689,T03904,"*IVZw38,Arp331,VV193,KDG2"
N 385,10440,32031214.3,5024,2412700,-3A,1.3,1,13.8,687,T03917,"IVZw38,Arp331"
01047+1625,10443,16250114.5,158,412812,10,1.9,1.3,,685,,113(27)
N 399,10612,32220014.5,5167,2010622,1B,1.2,1,,712,T03785,
01065+3153,10630,31530014.5,4634,2010622,5,1.3,0.9,,714,,
01072+3205,10712,32050014,5179,510620,20,2.3,1.9,,724,T03786,
01090+0104,10856,1033514.2,6771,3012700,10,1.3,0.5,,749,T04148,"AK33,KDG26B"
I1639,10913.1,-554814.2,5395,2312700,-6,0.9,0.8,,750,T04149,MK562
N 420,10921.8,31513613.4,4951,2112700,-2,2,2,,752,T03921,
N 426,11015,-331914.4,5265,2312700,-7,1.7,1.5,,760,T00480,
N 429,11023.9,-363714.4,5625,2312700,-2,1.6,0.25,,762,T07710,
N 428,11024,430011.9,1150,910100,9X6s,5,3.7,11.85,763,,
N 430,11026.3,-310313.6,5284,2512700,-7,1.8,1.5,,765,T00481,
N 437,11148,5400014,5291,1912700,0,1.7,1.5,,788,T00842,
N 442,11205.4,-1170614.5,5620,2512700,16  P,1,0.7,,789,T02180,
